relation,MAE_GLOBAL,RMSE_GLOBAL,MAE_LOCAL,RMSE_LOCAL
film.film.initial_release_date,12.20009178614282,16.024870506122323,10.160427879436035,14.309042628999592
location.dated_location.date_founded,220.98028635413291,627.3230563126925,216.61832612811685,670.4739248816022
location.geocode.latitude,12.402765855938172,19.65980089665257,5.182716000115276,12.375287270849501
location.geocode.longitude,58.39122201489788,67.38490393691205,17.752440090039176,35.665083952112724
location.location.area,1842883.4389314896,12654333.207580388,2793665.536598299,13492955.528296817
organization.organization.date_founded,81.02857647290736,131.1018543311284,82.83465635961215,137.1760022658449
people.deceased_person.date_of_death,56.56092338371028,188.3422513137079,65.17697966948684,203.44697525871092
people.person.date_of_birth,35.80180532195675,158.3649715069838,27.84604038720864,156.80613886170408
people.person.height_meters,0.07938778734270026,0.0972171330733339,0.08900189213715556,0.10843990726294213
people.person.weight_kg,12.505654354427245,18.655968071707328,16.367464705882355,22.740873509419902
topic_server.population_number,7184317.38966781,15038008.959611334,128042252.71721177,481773772.0947772
